Country,Type,Street,City,Email,Phone,Website,Head
Austria,Consulate,15 School Street,Boston,N/A,(+1) 617-227-3131,www.austria-bos.org,Yizhak Aron Korff
Belgium,Consulate,N/A,Boston,N/A,(+1) 857-259-2070,N/A,Anne Deconinck
Brazil,Consulate General,175 Purchase Street20 Park Plaza,Boston,N/A,(+1) 617-542-4000,boston.itamaraty.gov.br,Frederico Cezar De Araujo
Bulgaria,Consulate General,Two Newton Place,Boston,N/A,N/A,N/A,Adam David Portnoy
Cambodia,Consulate General,Chelmsford Street,Lowell,N/A,(+1) 978-735-4962,N/A,Ou Sovann
Canada,Consulate General,Copley Place,Boston,N/A,(+1) 844-880-6519,N/A,David Alward
Cape Verde,Consulate General,Congress Street,Boston,N/A,(+1) 617-859-9798,N/A,Herminio Moniz
Chile,Consulate,Bernardo O'higgins Circle,Brighton,N/A,(+1) 617-232-0817,N/A,Paul William Garber
Colombia,Consulate General,Saint James Avenue,Boston,N/A,(+1) 617-536-9372,N/A,Carolina Mejia Gil
Czech Republic,Consulate General,Howe Street,Boston,N/A,(+1) 617-353-5084,N/A,Igor Lukes
Dominican Republic,Consulate General,Park Plaza,Boston,N/A,(+1) 617-482-8133,N/A,Ramón Antonio Cruz Ventura
Ecuador,Consulate,Oak Street,Needham,N/A,(+1) 781-455-9019,N/A,Beatriz Almeida De Stein
El Salvador,Consulate General,Bennington Street,East Boston,N/A,(+1) 617-567-8484,N/A,Morena Guadalupe Juárez Guzmán
Estonia,Consulate,Centre Street,Boston,N/A,N/A,N/A,Anne-reet Annunziata
Finland,Consulate,Franklin St.,Boston,N/A,(+1) 617-654-1735,N/A,Leonard Kopelman
France,Consulate General,Saint James Avenue,Boston,N/A,(+1) 617-542-8054,N/A,Arnaud Mentré
Georgia,Consulate,50 Milk St.,Boston,N/A,(+1) 719-351-9752,N/A,Jarred Guthrie
Germany,Consulate General,Three Copley Place,Boston,N/A,(+1) 617-369-4940,N/A,Ralf Horlemann
Greece,Consulate General,N/A,Boston,N/A,(+1) 617-523-0511,N/A,Stratos Efthymiou
Haiti,Consulate General,Washington St.,Boston,N/A,(+1) 617-778-6898,N/A,Hans Charles
Honduras,Consulate,Everett Avenue,Chelsea,N/A,N/A,N/A,Alejandra Iveth Zelaya
Hungary,Consulate,Huntington Avenue,Boston,N/A,N/A,N/A,Gábor Garai
Ireland,Consulate General,Boylston Street,Boston,N/A,(+1) 617-267-6375,N/A,Laoise Moore
Israel,Consulate General,Park Plaza,Boston,N/A,(+1) 617-535-0255,N/A,Yehuda Yaakov
Italy,Consulate General,Atlantic Avenue,Boston,N/A,(+1) 617-722-9407,N/A,Federica Sereni
Jamaica,Consulate,State Street,Boston,N/A,(+1) 617-723-7234,N/A,Denzil Mckenzie
Japan,Consulate General,High St,Boston,N/A,(+1) 617-542-1329,N/A,Setsuo Ohmori
Lebanon,Consulate,N. Main Street,Andover,N/A,(+1) 978-289-4145,N/A,Ibrahim Bechara Hanna
Liechtenstein,Consulate,N/A,Boston,N/A,N/A,N/A,N/A
Luxembourg,Consulate,Franklin Street,Boston,N/A,(+1) 617-306-4721,N/A,Susan C. Livingston
Malta,Consulate,Lantern Road,Belmont,N/A,(+1) 617-484-4444,N/A,Christine Saidnawey
Mexico,Consulate General,Franklin Street,Boston,N/A,(+1) 617-426-8782,N/A,Alberto Fierro Garza
Monaco,Consulate,Broad Street,Boston,N/A,N/A,N/A,Rina Spence
Morocco,Consulate General,N/A,Boston,N/A,N/A,N/A,Carol Hunsberger Kopelman
Netherlands,Consulate,N/A,Boston,N/A,N/A,N/A,Willem Heije Scheele
Nicaragua,Consulate,Mulberry Street,Springfield,N/A,(+1) 413-739-0801,N/A,Sherman E. Fein
Norway,Consulate,A Street,Boston,N/A,(+1) 617-423-2057,N/A,Terje Korsnes
Pakistan,Consulate General,Main St,Boston,N/A,(+1) 617-266-6666,N/A,Barry D. Hoffman
Peru,Consulate General,Park Plaza,Boston,N/A,(+1) 617-338-2742,N/A,Manuel Soarez Documet
Portugal,Consulate General,One Exeter Plaza,Boston,N/A,(+1) 617-536-2503,N/A,João Pedro De Vasconcelos Fins Do Lago
Republic Of Korea,Consulate General,Washinton Street,Newton,N/A,(+1) 617-641-2831,N/A,Yoo Ki-jun
Romania,Consulate,Harvard Square,Cambridge,N/A,N/A,N/A,Dan Dimancesu
Rwanda,Consul,Tremont Street,Boston,N/A,(+1) 617-948-9448,N/A,Robert C. Sager
Slovakia,Consulate,Round Hill Road,Weston,N/A,(+1) 781-656-5063,N/A,Peter Muzila
Spain,Consulate General,St. James Avenue,Boston,N/A,(+1) 617-536-2527,N/A,Fernando Alvargonzález San Martín
Sweden,Consulate General,Devonshire Street,Boston,N/A,N/A,N/A,Lena Granberg-noble
Taiwan,Trade Office,Summer Street,Boston,N/A,(+1) 617-650-9252,N/A,Yu-tien Hsu
Thailand,Consulate General,Union Street,Boston,N/A,(+1) 617-227-2306,N/A,Joseph Milano
Turkey,Consulate General,Saint James Avenue,Boston,N/A,(+1) 857-250-4748,N/A,Ceylan Özen Erisen
United Arab Emirates,Consulate General,One International Place,Boston,N/A,N/A,N/A,Salem Ali Khamis Obaid Al Shamsi
United Kingdom,Consulate General,One Broadway,Cambridge,N/A,N/A,www.instagram.com/ukinboston/,Peter Abbott
